vAyumaNdala: Gar/a__n   (Match Count: 4, Difference: 0)
hAnikAraka: wIn/a__adj   (Match Count: 8, Difference: 0)
parAbEMganI: ajAwI/__adj   (Match Count: 1, Difference: 0)
cakrIya: anek/a__adj   (Match Count: 8, Difference: 0)
mahawva: rAw/a__n   (Match Count: 4, Difference: 0)
oYksIjana: Gar/a__n   (Match Count: 3, Difference: 1)
dAi: Apawwi/__n   (Match Count: 2, Difference: 0)
jalavARpa: Gar/a__n   (Match Count: 4, Difference: 0)
XUlakaNa: Gar/a__n   (Match Count: 4, Difference: 0)
Sahiwa: anek/a__adj   (Match Count: 8, Difference: 0)
xvanxva: Gar/a__n   (Match Count: 4, Difference: 0)
avaSoRiwa: Gar/a__n   (Match Count: 4, Difference: 0)
janwu: qwu/__n   (Match Count: 2, Difference: 0)
xvanda: Gar/a__n   (Match Count: 3, Difference: 1)
gEsIya: anek/a__adj   (Match Count: 8, Difference: 0)
svarUpa: rAw/a__n   (Match Count: 4, Difference: 0)
varRaNa: Gar/a__n   (Match Count: 4, Difference: 0)
vARpowsarjana: Gar/a__n   (Match Count: 3, Difference: 1)
XUlakaNA: ladak/A__n   (Match Count: 1, Difference: 3)
saMGanana: Gar/a__n   (Match Count: 4, Difference: 0)
awi: No matching paradigm found
oYksAida: Gar/a__n   (Match Count: 4, Difference: 0)
viRuvawa: Gar/a__n   (Match Count: 4, Difference: 0)
saMvahanIya: anek/a__adj   (Match Count: 8, Difference: 0)
kaBI: Axam/I__n   (Match Count: 4, Difference: 0)
SAnwa: Gar/a__n   (Match Count: 4, Difference: 0)
kRoBamaNdala: Gar/a__n   (Match Count: 3, Difference: 1)
kRoBasImA: gudiy/A__n   (Match Count: 2, Difference: 2)
uparI: ajAwI/__adj   (Match Count: 1, Difference: 0)
maNdala: rAw/a__n   (Match Count: 4, Difference: 0)
samawApamaNdala: Gar/a__n   (Match Count: 3, Difference: 1)
maXyamaNdala: Karc/a__n   (Match Count: 3, Difference: 1)
maNDala: Gar/a__n   (Match Count: 3, Difference: 1)
moTAI: Axam/I__n   (Match Count: 3, Difference: 1)
vixyuwa: wIn/a__adj   (Match Count: 8, Difference: 0)
AveSiwa: anek/a__adj   (Match Count: 8, Difference: 0)
AyanamaNdala: Gar/a__n   (Match Count: 3, Difference: 1)
anwima: wIn/a__adj   (Match Count: 8, Difference: 0)
gurUwvAkarRaNa: Gar/a__n   (Match Count: 3, Difference: 1)
Ayana: rAw/a__n   (Match Count: 4, Difference: 0)
cakraNa: Gar/a__n   (Match Count: 4, Difference: 0)
AksAIda: Gar/a__n   (Match Count: 3, Difference: 1)
BOjana: Karc/a__n   (Match Count: 3, Difference: 1)
kArbohAidreta: Gar/a__n   (Match Count: 4, Difference: 0)
rupa: rAw/a__n   (Match Count: 4, Difference: 0)
kArbanIkaraNa: Gar/a__n   (Match Count: 3, Difference: 1)
jalaBaNdAra: Gar/a__n   (Match Count: 4, Difference: 0)
wawva: rAw/a__n   (Match Count: 4, Difference: 0)
nAitreta: Gar/a__n   (Match Count: 4, Difference: 0)
sWAnAMwariwa: Gar/a__n   (Match Count: 3, Difference: 1)
sAMsa: rAw/a__n   (Match Count: 4, Difference: 0)
bahirmaNdala: Karc/a__n   (Match Count: 3, Difference: 1)
sabI: ladak/I__n   (Match Count: 4, Difference: 0)
sambaMXI: ajAwI/__adj   (Match Count: 1, Difference: 0)
anwara: rAw/a__n   (Match Count: 4, Difference: 0)
AreKa: rAw/a__n   (Match Count: 4, Difference: 0)
