Matching Entries:
vAlA: kAl/A__n
DUzDZa: uT/a__v
ladZA: KA/__v
padZA: KA/__v
xOdZA: KA/__v
gumA: KA/__v
lomadZI: ladak/I__n
aBAvI: ajAwI/__adj
aBicArI: ajAwI/__adj
aBigAmI: ajAwI/__adj
aBikalpanA: ASA/__n
aBilARa: rAw/a__n
aBilARI: ajAwI/__adj
abIrI: ajAwI/__adj
aBiruci: Apawwi/__n
aBivyApwi: SAnwi/__n
aBIwi: SAnwi/__n
aBiXAraNA: ASA/__n
aBiyAcanA: ASA/__n
aBogI: ajAwI/__adj
acAhI: ajAwI/__adj
acakacA: KA/__v
acakana: rAw/a__n
AcamanI: ladak/I__n
AcAryAnI: ladak/I__n
acavA: KA/__v
acavAI: ajAwI/__adj
acCAI: ladak/I__n
adacala: rAw/a__n
adacana: rAw/a__n
adA: KA/__v
adakA: KA/__v
AdaMbarI: ajAwI/__adj
ADawa: rAw/a__n
AdZI: ladak/I__n
agahanI: ajAwI/__adj
aGA: KA/__v
AgAmI: ajAwI/__adj
agarA: KA/__v
agarI: ladak/I__n
aGatiwaGatanApatIyasI: ajAwI/__adj
aGavA: KA/__v
aGAwI: ajAwI/__adj
agiyA: KA/__v
agnijvAlA: ASA/__n
agniSuxXi: SAnwi/__n
agora: uT/a__v
AgrahI: ajAwI/__adj
agraNI: ajAwI/__adj
agrayAyI: ajAwI/__adj
aguNavAxI: ajAwI/__adj
aguNI: ajAwI/__adj
ahaM: sarasoM/__n
AhArI: ajAwI/__adj
Ahata: rAw/a__n
ahiMxI: ajAwI/__adj
Ahuwi: Apawwi/__n
A: KA/__v
ajagarI: ajAwI/__adj
AjamA: KA/__v
AjamAiSa: rAw/a__n
ajasI: ajAwI/__adj
ajavIWI: ladak/I__n
ajAwI: ajAwI/__adj
AjFapwi: Apawwi/__n
ajI: ladak/I__n
akabakA: KA/__v
aKabArI: ajAwI/__adj
akacakA: KA/__v
akala: rAw/a__n
akAlamqwyu: qwu/__n
akalaxADa: rAw/a__n
akAmI: ajAwI/__adj
akAMkRI: ajAwI/__adj
AkASabela: rAw/a__n
AkASacArI: ajAwI/__adj
AkASavANI: ladak/I__n
AKirI: ajAwI/__adj
akIrwi: Apawwi/__n
aklI: ajAwI/__adj
Akqwi: Apawwi/__n
akRayI: ajAwI/__adj
akRayiNI: ajAwI/__adj
akRi: Apawwi/__n
akulA: KA/__v
akuwA: KA/__v
AKyAwi: SAnwi/__n
AKyAyikA: ASA/__n
alagA: KA/__v
alaka: rAw/a__n
alamArI: ladak/I__n
AlamArI: ladak/I__n
alaMkqwi: Apawwi/__n
alApa: uT/a__v
AlApI: ajAwI/__adj
alasA: KA/__v
AlasI: ajAwI/__adj
AlaWIpAlaWI: ladak/I__n
AlI: ladak/I__n
alpAhArI: ajAwI/__adj
alpajIvI: ajAwI/__adj
alpasaMwoRI: ajAwI/__adj
amAnawI: ajAwI/__adj
amAnI: ajAwI/__adj
amarabela: rAw/a__n
amarRI: ajAwI/__adj
amAvasa: rAw/a__n
Amaxa: rAw/a__n
aMgArI: ajAwI/__adj
aMgasaMgI: ajAwI/__adj
aMgI: ajAwI/__adj
aMguli: Apawwi/__n
aMgulI: ladak/I__n
aMgUrI: ajAwI/__adj
aMgurI: ladak/I__n
AmiRaBojI: ajAwI/__adj
aMjali: Apawwi/__n
aMjalI: ladak/I__n
aMjorI: ladak/I__n
aMkaXArI: ajAwI/__adj
AmoxI: ajAwI/__adj
amqwAMSu: vAyu/__n
aMSapUzjI: ladak/I__n
aMSI: ajAwI/__adj
aMtaka: uT/a__v
Amukwi: SAnwi/__n
aMwaHkaWA: ASA/__n
aMwaHSuxXi: SAnwi/__n
aMwaraMgI: ajAwI/__adj
aMwarjyowi: SAnwi/__n
aMxarUnI: ajAwI/__adj
aMXeranagarI: ladak/I__n
anAcArI: ajAwI/__adj
anAjFAkArI: ajAwI/__adj
anAjI: ajAwI/__adj
anaMgavawI: ladak/I__n
anaMwarASi: SAnwi/__n
anaMwaSrI: ajAwI/__adj
ananyaxqRti: SAnwi/__n
anapakArI: ajAwI/__adj
anapekRI: ajAwI/__adj
AnarerI: ajAwI/__adj
anarIwi: Apawwi/__n
anaruci: SAnwi/__n
anarWakArI: ajAwI/__adj
anASI: ajAwI/__adj
anavagAhI: ajAwI/__adj
anavApwi: SAnwi/__n
anAvarwI: ajAwI/__adj
anavasWiwi: SAnwi/__n
anAvqwwi: SAnwi/__n
anaXikArI: ajAwI/__adj
anekAkI: ajAwI/__adj
annopalabXi: SAnwi/__n
anuBavI: ajAwI/__adj
anuBAvI: ajAwI/__adj
anuBavokwi: Apawwi/__n
anugAmI: ajAwI/__adj
anugrAhI: ajAwI/__adj
anujFapwi: Apawwi/__n
anukqwi: Apawwi/__n
anukramaNI: ladak/I__n
anukramaNikA: ASA/__n
anukwi: Apawwi/__n
anulipi: Apawwi/__n
anupakArI: ajAwI/__adj
anupayogI: ajAwI/__adj
AnupUrvI: ladak/I__n
anurAgI: ajAwI/__adj
anuRaMgI: ajAwI/__adj
anurawi: SAnwi/__n
anuroXI: ajAwI/__adj
anusaMXAnI: ajAwI/__adj
anuSruwi: Apawwi/__n
anusUcI: ladak/I__n
anuvarwI: ajAwI/__adj
anuvAxI: ajAwI/__adj
aNuvAxI: ajAwI/__adj
anuvqwwi: Apawwi/__n
anuwwaraxAyI: ajAwI/__adj
anuxyamI: ajAwI/__adj
anuxyogI: ajAwI/__adj
anvayI: ajAwI/__adj
anyAyI: ajAwI/__adj
anyokwi: Apawwi/__n
Apa: Apa/__p
apakArI: ajAwI/__adj
apakramI: ajAwI/__adj
apalApI: ajAwI/__adj
apamqwyu: qwu/__n
aPanA: KA/__v
aPara: uT/a__v
apAraxarSI: ajAwI/__adj
apariNAmI: ajAwI/__adj
aparokRAnuBUwi: SAnwi/__n
aPavAha: rAw/a__n
apavAxI: ajAwI/__adj
apavyayI: ajAwI/__adj
APawa: rAw/a__n
apawnI: ajAwI/__adj
Apawwi: Apawwi/__n
apekRAbuxXi: SAnwi/__n
APiyawa: rAw/a__n
aprakqwi: SAnwi/__n
aprasakwi: SAnwi/__n
ApravAsI: ajAwI/__adj
aprawikArI: ajAwI/__adj
aprawipawwi: SAnwi/__n
aprawiyogI: ajAwI/__adj
apriyavAxI: ajAwI/__adj
apUrvaviXi: SAnwi/__n
ApUrwi: Apawwi/__n
arabI: ajAwI/__adj
arAgI: ajAwI/__adj
ArajU: bah/U__n
ArakRI: ajAwI/__adj
ArAmakursI: ladak/I__n
ArasI: ladak/I__n
araWI: ladak/I__n
ArawI: ladak/I__n
araxAsa: rAw/a__n
Ardarabuka: rAw/a__n
ArI: ladak/I__n
arjI: ladak/I__n
arogI: ajAwI/__adj
ArogyaSAlA: ASA/__n
ArtagElarI: ladak/I__n
aRtAXyAyI: ladak/I__n
arWArWI: ajAwI/__adj
arWayukwi: Apawwi/__n
ArWI: ajAwI/__adj
arWI: ladak/I__n
arXAMginI: ladak/I__n
arXasarakArI: ajAwI/__adj
arxXAMginI: ladak/I__n
aSakwi: Apawwi/__n
asalI: ajAwI/__adj
asaMBAvanA: ASA/__n
asaMgawi: Apawwi/__n
AsAmI: ajAwI/__adj
asaMsakwi: SAnwi/__n
aSaraPI: ladak/I__n
aSarIrI: ajAwI/__adj
aSarPI: ladak/I__n
ASAvAxI: ajAwI/__adj
Asawwi: Apawwi/__n
asawyavAxI: ajAwI/__adj
asAXvI: ladak/I__n
asEnikIkaraNa: rAw/a__n
asi: Apawwi/__n
ASikI: ladak/I__n
asixXi: Apawwi/__n
aSokamaMjarI: ladak/I__n
aSokarohiNI: ladak/I__n
aspawAlI: ajAwI/__adj
ASramavAsI: ajAwI/__adj
ASramI: ajAwI/__adj
ASrayI: ajAwI/__adj
assI: ajAwI/__adj
ASugAmI: ajAwI/__adj
asuKI: ajAwI/__adj
AsurI: ladak/I__n
aSuxXi: Apawwi/__n
aSvagawi: SAnwi/__n
aSvaSAlA: ASA/__n
asvIkqwi: Apawwi/__n
asWAyI: ajAwI/__adj
asWi: Apawwi/__n
AswIna: rAw/a__n
asWisaMXi: Apawwi/__n
aswrI: ajAwI/__adj
atakA: KA/__v
atakala: rAw/a__n
aTaKelI: ladak/I__n
aTannI: ladak/I__n
atArI: ladak/I__n
atEcI: ladak/I__n
aTilA: KA/__v
aTowarI: ladak/I__n
attahAsI: ajAwI/__adj
attAlikA: ASA/__n
avagAhI: ajAwI/__adj
AvAja: rAw/a__n
avajFA: ASA/__n
avAkpuRpI: ladak/I__n
AvarwI: ajAwI/__adj
avasaravAxI: ajAwI/__adj
AvAsI: ajAwI/__adj
avaSyaMBAvI: ajAwI/__adj
avawaraNaBUmi: SAnwi/__n
avawArI: ajAwI/__adj
avaXAnI: ajAwI/__adj
avaXI: ajAwI/__adj
avAxI: ajAwI/__adj
avayavI: ajAwI/__adj
avicArI: ajAwI/__adj
avikArI: ajAwI/__adj
avinASI: ajAwI/__adj
aviSvAsI: ajAwI/__adj
avivekI: ajAwI/__adj
Avqwi: Apawwi/__n
Avqwwi: Apawwi/__n
Avrajana: rAw/a__n
avyApI: ajAwI/__adj
avyavasAyI: ajAwI/__adj
awApI: ajAwI/__adj
AwaSabAjI: ladak/I__n
awiBUmi: SAnwi/__n
awimqwyu: vAyu/__n
AwiSabAjI: ladak/I__n
awisaMXi: SAnwi/__n
awiSayI: ajAwI/__adj
awiSAyI: ajAwI/__adj
awivAxI: ajAwI/__adj
awiWiSAlA: ASA/__n
AwmaGAwI: ajAwI/__adj
AwmagrAhI: ajAwI/__adj
AwmAnuBUwi: Apawwi/__n
AwmavAxI: ajAwI/__adj
Awmawqpwi: SAnwi/__n
Awmonnawi: SAnwi/__n
AwurI: ladak/I__n
awyAgI: ajAwI/__adj
axAgI: ajAwI/__adj
aXakarI: ladak/I__n
axAlawa: rAw/a__n
aXapaI: ladak/I__n
AXAraSakwi: Apawwi/__n
AXAraSilA: ASA/__n
AxarSavAxI: ajAwI/__adj
Axawa: rAw/a__n
aXAwu: qwu/__n
axeKI: ajAwI/__adj
AxeSI: ajAwI/__adj
aXikA: KA/__v
aXikqwi: Apawwi/__n
aXipawnI: ladak/I__n
aXirohaNI: ladak/I__n
aXirohiNI: ladak/I__n
aXIwI: ajAwI/__adj
aXiwyakA: ASA/__n
aXiyA: KA/__v
axOrI: ladak/I__n
axqRti: SAnwi/__n
axrohI: ajAwI/__adj
axUraxarSI: ajAwI/__adj
axveRI: ajAwI/__adj
AyAmI: ajAwI/__adj
ayaSasvI: ajAwI/__adj
ayogI: ajAwI/__adj
azcavA: KA/__v
azgadA: KA/__v
azgadAI: ladak/I__n
azgArI: ladak/I__n
azgITI: ladak/I__n
azgoCI: ladak/I__n
azgulI: ladak/I__n
azgurI: ladak/I__n
azguriyA: gudiy/A__n
azguTI: ladak/I__n
azgUTI: ladak/I__n
azjA: KA/__v
azjavA: KA/__v
azjuli: Apawwi/__n
azjulI: ladak/I__n
azjurI: ladak/I__n
AzKa: rAw/a__n
Azka: uT/a__v
azkurA: KA/__v
aztA: KA/__v
azta: uT/a__v
AztI: ladak/I__n
azwadI: ladak/I__n
Azwa: rAw/a__n
AzXI: ladak/I__n
azXyArI: ajAwI/__adj
Babaka: uT/a__v
BaBaka: uT/a__v
BaBakI: ladak/I__n
bAbarI: ladak/I__n
BABI: ladak/I__n
bacA: KA/__v
baccI: ladak/I__n
badabadA: KA/__v
BadaBadA: KA/__v
baDA: KA/__v
BadakA: KA/__v
Badaka: uT/a__v
baDanI: ladak/I__n
BadasAra: rAw/a__n
baDavA: KA/__v
badIbAwa: rAw/a__n
bAdI: ladak/I__n
baDowarI: ladak/I__n
BagA: KA/__v
bagala: rAw/a__n
baGAra: uT/a__v
bagAvawa: rAw/a__n
BagavaxBakwi: SAnwi/__n
BAgaxOda: rAw/a__n
bagGI: ladak/I__n
bagIcI: ladak/I__n
BaginI: ladak/I__n
BAgIraWI: ladak/I__n
BagnaSrI: ajAwI/__adj
BAgyaSAlI: ajAwI/__adj
BAgyavAxI: ajAwI/__adj
bahA: KA/__v
bahakA: KA/__v
bahalA: KA/__v
bahana: rAw/a__n
bahAnebAjI: ladak/I__n
bahAra: rAw/a__n
bahI: ladak/I__n
bahU: bah/U__n
bahumuKI: ajAwI/__adj
bahuraMgI: ajAwI/__adj
bahuvyayI: ajAwI/__adj
bahuwAyawa: rAw/a__n
BA: KA/__v
bAI: ajAwI/__adj
BaI: ladak/I__n
bAisikala: rAw/a__n
BAIxUja: rAw/a__n
bajA: KA/__v
BajanAnaMxI: ajAwI/__adj
BajanI: ajAwI/__adj
bAjArI: ajAwI/__adj
bajavA: KA/__v
bAjI: ladak/I__n
BAjI: ladak/I__n
BakaBakA: KA/__v
baKAna: uT/a__v
bakarI: ladak/I__n
bakarIxa: rAw/a__n
baKaSISa: rAw/a__n
bakavA: KA/__v
bakavAsI: ajAwI/__adj
bakavAxI: ajAwI/__adj
bakaXyAnI: ajAwI/__adj
bAkI: ajAwI/__adj
Bakosa: uT/a__v
bakota: uT/a__v
BakRI: ajAwI/__adj
baKSISa: rAw/a__n
baKUbI: ladak/I__n
BalAI: ladak/I__n
bAlakamAnI: ladak/I__n
bAlakeli: Apawwi/__n
bAlakrIdA: ASA/__n
bAlalIlA: ASA/__n
BalamanasAhawa: rAw/a__n
bAlamawi: SAnwi/__n
balaSAlI: ajAwI/__adj
bAlatI: ladak/I__n
balavawI: ajAwI/__adj
bAlaviXavA: ASA/__n
balihArI: ladak/I__n
bali: Apawwi/__n
bAlI: ladak/I__n
ballI: ladak/I__n
bAltI: ladak/I__n
bAlUSAhI: ladak/I__n
bAlyAvasWA: ASA/__n
bamacaKa: rAw/a__n
bamakA: KA/__v
bamaka: uT/a__v
BaMgimA: ASA/__n
BAminI: ladak/I__n
baMsI: ladak/I__n
baMxA: KA/__v
baMxaraGudakI: ladak/I__n
baMxI: ladak/I__n
baMxiSa: rAw/a__n
baMxUka: rAw/a__n
BanaBanAhata: rAw/a__n
BanaBanA: KA/__v
banA: KA/__v
banajArana: rAw/a__n
Banaka: rAw/a__n
banArasI: ajAwI/__adj
banavA: KA/__v
bANavarRI: ajAwI/__adj
banAvatI: ajAwI/__adj
bAnI: ladak/I__n
bAnxI: ladak/I__n
baniyAina: rAw/a__n
baniyAna: rAw/a__n
BannA: KA/__v
bAno: redio/__n
baPara: uT/a__v
BaraBarAhata: rAw/a__n
BaraBarA: KA/__v
baraCI: ladak/I__n
bArahaKadI: ladak/I__n
bArahamAsI: ajAwI/__adj
barahI: ladak/I__n
BARAI: ajAwI/__adj
barakawa: rAw/a__n
BaramA: KA/__v
bArAnI: ladak/I__n
BaraNI: ladak/I__n
baraPI: ladak/I__n
barasA: KA/__v
barasAwa: rAw/a__n
barasAwI: ladak/I__n
barasI: ladak/I__n
BaravA: KA/__v
BARAvix: BARAvix/__n
barAwa: rAw/a__n
bArAwa: rAw/a__n
BArawasaMwAna: rAw/a__n
BarawI: ladak/I__n
BArawI: ladak/I__n
baraxA: KA/__v
barI: ajAwI/__adj
BArI: ajAwI/__adj
barOnI: ladak/I__n
barPa: rAw/a__n
barPAnI: ajAwI/__adj
barPIlA: kAl/A__adj
barrA: KA/__v
BarrA: KA/__v
BarwI: ladak/I__n
basA: KA/__v
basaMwI: ajAwI/__adj
bAsI: ajAwI/__adj
basITI: ladak/I__n
basUlI: ladak/I__n
baswI: ladak/I__n
batA: KA/__v
batAI: ladak/I__n
BatakA: KA/__v
bataloI: ladak/I__n
batora: uT/a__v
battI: ladak/I__n
BatTI: ladak/I__n
BAvaBakwi: SAnwi/__n
BAvaBaMgimA: ASA/__n
BAvagrAhI: ajAwI/__adj
bAvalI: ladak/I__n
BAvaSuxXi: SAnwi/__n
BAvaxarSI: ajAwI/__adj
BAvI: ajAwI/__adj
BaviRyaniXi: Apawwi/__n
BaviRyavANI: ladak/I__n
BaviwavyawA: ASA/__n
bawA: KA/__v
bAwa: rAw/a__n
bawaKa: rAw/a__n
bawalA: KA/__v
BawIjI: ladak/I__n
bawIsI: ladak/I__n
bAwUnI: ajAwI/__adj
bawwaKa: rAw/a__n
bawwI: ladak/I__n
baXAI: ladak/I__n
baxalavA: KA/__v
bAxAmI: ajAwI/__adj
baxamijAjI: ladak/I__n
bAxarAyaNi: SAnwi/__n
baxarI: ladak/I__n
bAxaSAhawa: rAw/a__n
bAxaSAhI: ajAwI/__adj
baXU: bah/U__n
bayAsI: ajAwI/__adj
BayaxarSI: ajAwI/__adj
bAzca: uT/a__v
bAzyA: kAl/A__adj
bAzha: rAw/a__n
BazjA: KA/__v
BAzja: uT/a__v
BAzpa: uT/a__v
bazsavAdI: ladak/I__n
bAzsurI: ladak/I__n
baztA: KA/__v
bAzta: uT/a__v
baztAI: ladak/I__n
baztavA: KA/__v
Bazvara: rAw/a__n
BAzvara: rAw/a__n
BAzvari: Apawwi/__n
BazvarI: ladak/I__n
BAzvarI: ladak/I__n
bazXA: KA/__v
bAzXa: uT/a__v
bazXavA: KA/__v
beaxabI: ladak/I__n
beca: uT/a__v
becArI: ajAwI/__adj
becavA: KA/__v
Beda: rAw/a__n
bedI: ladak/I__n
begama: rAw/a__n
bEganI: ajAwI/__adj
begunAhI: ladak/I__n
behayAI: ladak/I__n
behUxagI: ladak/I__n
beImAnI: ladak/I__n
bekarArI: ladak/I__n
bElagAdI: ladak/I__n
belapawwI: ladak/I__n
belavA: KA/__v
bemAnI: ajAwI/__adj
bEMganI: ajAwI/__adj
BEMsa: rAw/a__n
BEravI: ladak/I__n
berI: ladak/I__n
beruKI: ladak/I__n
besabrI: ladak/I__n
bEsAKI: ladak/I__n
beSakImawI: ajAwI/__adj
besanI: ajAwI/__adj
beSarmI: ladak/I__n
betAbetI: ladak/I__n
bETA: KA/__v
bETakI: ladak/I__n
bEtarI: ladak/I__n
bETavA: KA/__v
betI: ladak/I__n
